Set,Qty,Name,Text,Type,Faction / Color,Cost,Defense,Role,Notes
High Alert: First Strike,1,Arcadia,"Scrap a card in your hand.
<hr>
{Machine Cult Ally}: Scrap a card in your discard pile.
<hr>
{Double Machine Cult Ally}: {Gain 6 Combat}",Base,Machine Cult,6,5,Trade Deck,
High Alert: First Strike,1,Battle Star,"{3 Combat}
<hr>
{Star Empire Ally} {3 Combat}
<hr>
{Double Star Empire Ally}: Target opponent discards a card.",Base,Star Empire,6,5,Trade Deck,
High Alert: First Strike,1,Blob Builder,"{Gain 5 Trade} You may scrap any number of cards currently in the trade row.
<hr>
{Blob Ally}: Acquire a base for free and put it directly on top of your deck.
<hr>
Pay {1 Combat} less to acquire this card for each {Blob} card you have in play.",Ship,Blob,7,,Trade Deck,The top ability is a primary ability that gives you 5 Trade and an effect. You do not pay 5 trade in order to activate the abiltiy.
High Alert: First Strike,2,Cargo Barge,"{Gain 3 Trade}
<hr>
{Star Empire Ally}: Target opponent discards a card.
<hr>
{Scrap} Draw a card.
<hr>
Pay {1 Trade} less to acquire this card for each {Star Empire} card you have in play.",Ship,Star Empire,3,,Trade Deck,
High Alert: First Strike,1,Command Cruiser,"{Gain 8 Combat}
<hr>
{Star Empire Ally}: Draw a card.
<hr>
{Double Star Empire Ally}: Draw a card.",Ship,Star Empire,6,,Trade Deck,
High Alert: First Strike,2,Fighter Pod,"{Gain 3 Combat}
<hr>
{Blob Ally}: {Gain 2 Trade}
<hr>
{Double Blob Ally}: {Gain 3 Combat}",Ship,Blob,1,,Trade Deck,
High Alert: First Strike,1,Freight Hauler,"{Gain 4 Trade}
<hr>
{Trade Federation Ally}: {Gain 4 Combat}
<hr>
{Double Trade Federation Ally}: Put the next card you acquire this turn directly into your hand.",Ship,Trade Federation,5,,Trade Deck,
High Alert: First Strike,1,Industrial Upgrade,Pay {3 Trade}: Draw a card.,Tech,,5,,Trade Deck,
High Alert: First Strike,1,Missile Launcher,Pay {3 Trade}: Gain {3 Combat},Tech,,4,,Trade Deck,
High Alert: First Strike,1,Operations Center,"{Gain 2 Trade}
<hr>
{Trade Federation Ally}: {Gain 2 Authority}
<hr>
{Double Trade Federation Ally}: Draw a card.",Base,Trade Federation,4,4,Trade Deck,
High Alert: First Strike,1,Parks Station,"{Gain 2 Trade}
<hr>
{Star Empire Ally}: {Gain 3 Combat}
<hr>
Pay {1 Trade} less to acquire this card for each {Star Empire} card you have in play.",Base,Star Empire,4,4,Trade Deck,
